num_author,name_author,field,continent,university,h_index,h_rank,i10_index,i10_rank,Euclidean_index,Euclidean_rank,Total_Citation,Total_Citation_rank,Total_Publication,Total_Publication_rank,ABC,ABC_rank,ABC_A,ABC_A_rank,DBC,DBC_rank,CRBC,CRBC_rank,CEBC,CEBC_rank,TCEBC,TCEBC_rank,ACES,ACES_rank,ABC+CES,ABC+CES_rank,ABC*CES,ABC*CES_rank
18,Patrick O'Connor,other,Oceania,Adelaide,28,386,49,305,495.808430747199,937,2642.0,612,71,395,0,3283,0,3965,35.5,448,0,3203,49,313,24.5,444,247.9042153735995,1445,495.808430747199,754,0.0,3261
19,Peter Draper,i_trade,Oceania,Adelaide,6,2677,3,3094,37.376463182061514,3386,113.0,3048,27,1408,0,3283,0,3965,13.5,1526,0,3203,3,3149,1.5,3437,18.688231591030757,3478,37.376463182061514,3277,0.0,3261
20,Qazi Haque,macro,Oceania,Adelaide,4,3256,2,3404,26.057628441590765,3627,57.0,3471,14,2384,0,3283,4,1786,7.0,2517,0,3203,2,3459,2.5,2945,13.028814220795383,3681,26.057628441590765,3521,0.0,3261
21,Ralph-Christopher Bayer,behavior-experiment,Oceania,Adelaide,10,1802,10,1828,70.25667228100119,2838,252.0,2421,29,1320,0,3283,5,1568,14.5,1436,0,3203,10,1859,5.5,2026,35.12833614050059,2990,70.25667228100119,2689,0.0,3261
22,Raul Barreto,multiple-field,Oceania,Adelaide,5,2944,5,2603,176.41995352000293,1937,286.0,2307,7,3309,0,3283,1,2917,3.5,3382,0,3203,5,2654,2.5,2945,88.20997676000147,2239,176.41995352000293,1740,0.0,3261
23,Richard Pomfret,multiple-field,Oceania,Adelaide,22,617,50,291,255.99218738078707,1558,1680.0,867,145,82,0,3283,1,2917,72.5,94,0,3203,50,299,25.0,431,127.99609369039354,1943,255.99218738078707,1372,0.0,3261
24,Rida Akzar,development,Oceania,Adelaide,2,3967,1,3809,13.527749258468683,3997,27.0,3874,16,2168,0,3283,0,3965,8.0,2304,0,3203,1,3860,0.5,4086,6.7638746292343415,4017,13.527749258468683,3918,0.0,3261
25,Rio Lawas Maligalig,development,Oceania,Adelaide,2,3967,2,3404,38.535697735995385,3358,55.0,3490,4,3855,0,3283,0,3965,2.0,3907,0,3203,2,3459,1.0,3730,19.267848867997692,3449,38.535697735995385,3246,0.0,3261
26,Ruby Nguyen,p_finance,Oceania,Adelaide,1,4388,0,4385,5.0990195135927845,4310,6.0,4335,3,4085,0,3283,0,3965,1.5,4125,0,3203,0,4408,0.0,4504,2.5495097567963922,4319,5.0990195135927845,4266,0.0,3261
27,Stephane Mahuteau,labor,Oceania,Adelaide,10,1802,10,1828,86.24384035976135,2641,266.0,2361,13,2492,0,3283,0,3965,6.5,2616,0,3203,10,1859,5.0,2147,43.121920179880675,2827,86.24384035976135,2487,0.0,3261
28,Stephanie Mcwhinnie,multiple-field,Oceania,Adelaide,6,2677,5,2603,107.92126759818937,2427,173.0,2737,14,2384,0,3283,0,3965,7.0,2517,0,3203,5,2654,2.5,2945,53.96063379909469,2640,107.92126759818937,2247,0.0,3261
29,Suraya Abdul Halim,labor,Oceania,Adelaide,2,3967,0,4385,3.605551275463989,4413,5.0,4375,2,4322,0,3283,0,3965,1.0,4350,0,3203,0,4408,0.0,4504,1.8027756377319946,4417,3.605551275463989,4374,0.0,3261
30,Terence C. Cheng,multiple-field,Oceania,Adelaide,15,1141,19,1100,237.72252732965802,1638,742.0,1501,31,1232,0,3283,3,2072,15.5,1343,0,3203,19,1119,9.5,1356,118.86126366482901,2001,237.72252732965802,1440,0.0,3261
31,Theo Simos,development,Oceania,Adelaide,2,3967,1,3809,30.083217912982647,3531,37.0,3719,2,4322,0,3283,0,3965,1.0,4350,0,3203,1,3860,0.5,4086,15.041608956491324,3595,30.083217912982647,3420,0.0,3261
32,Trang Nguyen,other,Oceania,Adelaide,4,3256,4,2824,50.51732376126036,3124,100.0,3122,6,3475,0,3283,0,3965,3.0,3545,0,3203,4,2882,2.0,3174,25.25866188063018,3250,50.51732376126036,2994,0.0,3261
33,Virginie Masson,multiple-field,Oceania,Adelaide,5,2944,2,3404,56.65686189686118,3033,102.0,3106,9,3018,0,3283,0,3965,4.5,3116,0,3203,2,3459,1.0,3730,28.32843094843059,3172,56.65686189686118,2896,0.0,3261
34,Yaping Shan,micro_theory,Oceania,Adelaide,2,3967,2,3404,17.05872210923198,3883,25.0,3909,4,3855,0,3283,1,2917,2.0,3907,0,3203,2,3459,1.0,3730,8.52936105461599,3913,17.05872210923198,3792,0.0,3261
35,Zhang Wei,labor,Oceania,Adelaide,9,1992,9,1961,150.18987981884797,2094,367.0,2096,13,2492,0,3283,0,3965,6.5,2616,0,3203,9,2003,4.5,2297,75.09493990942399,2370,150.18987981884797,1913,0.0,3261
36,Andrew Eckert,i_organization,North America,Alberta,13,1348,19,1100,175.77258034175864,1944,648.0,1622,44,790,0,3283,1,2917,22.0,892,0,3203,19,1119,9.5,1356,87.88629017087932,2244,175.77258034175864,1745,0.0,3261
37,Andrew Leach,multiple-field,North America,Alberta,10,1802,10,1828,142.765542061101,2145,432.0,1954,28,1363,0,3283,0,3965,14.0,1485,0,3203,10,1859,5.0,2147,71.3827710305505,2410,142.765542061101,1967,0.0,3261
38,Andrew Mcgee,labor,North America,Alberta,8,2197,8,2100,85.12343978012167,2656,218.0,2544,18,1994,0,3283,3,2072,9.0,2114,0,3203,8,2146,4.0,2445,42.561719890060836,2835,85.12343978012167,2500,0.0,3261
